Country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
South Africa	"11,212.38"	"11,516.42"	"11,179.94"	"10,694.00"	"10,960.15"	"10,574.58"	"10,341.29"	"10,334.87"	"10,542.55"	"10,563.94"	"10,295.66"	"9,947.47"	"9,493.10"	"9,374.91"	"9,453.82"	"9,543.65"	"9,770.72"	"9,863.43"	"9,764.30"	"9,847.68"	"10,103.75"	"10,193.08"	"10,423.10"	"10,627.09"	"10,992.74"	"11,439.85"	"11,934.77"	"12,409.82"	"12,624.26"	"12,245.64"	"12,425.16"	"12,636.27"	"12,720.50"	"12,837.50"	"12,877.44"	"12,835.25"	"12,692.90"	"12,681.72"	"12,596.00"	"12,435.79"	"11,269.06"	"11,432.76"	"11,434.42"	"11,433.45"	"11,502.59"	"11,594.92"
																																														
Sri Lanka	"2,662.51"	"2,767.45"	"2,876.07"	"2,937.13"	"3,101.30"	"3,223.33"	"3,328.38"	"3,343.44"	"3,399.55"	"3,441.30"	"3,616.99"	"3,960.39"	"3,792.77"	"4,033.61"	"4,316.86"	"4,540.76"	"5,058.36"	"5,547.40"	"5,428.42"	"5,555.28"	"5,986.72"	"5,829.41"	"6,000.25"	"6,305.08"	"6,594.44"	"6,951.50"	"7,429.16"	"7,877.78"	"8,290.00"	"8,528.11"	"9,155.51"	"9,868.01"	"10,712.40"	"10,990.07"	"11,431.96"	"11,892.79"	"12,287.47"	"12,584.10"	"12,864.61"	"13,078.10"	"12,406.39"	"12,980.33"	"13,541.16"	"14,083.98"	"14,649.99"	"15,257.32"
																																														
Thailand	"3,918.51"	"4,068.36"	"4,205.24"	"4,358.70"	"4,526.67"	"4,651.99"	"4,821.09"	"5,185.48"	"5,773.33"	"6,375.03"	"7,017.09"	"7,517.11"	"8,128.75"	"8,754.17"	"9,367.92"	"10,027.79"	"10,477.80"	"10,069.31"	"9,189.12"	"9,499.22"	"9,819.38"	"10,063.82"	"10,594.28"	"11,271.36"	"11,898.14"	"12,316.63"	"12,850.63"	"13,473.43"	"13,634.07"	"13,471.90"	"14,413.35"	"14,464.84"	"15,439.87"	"15,783.03"	"15,869.88"	"16,301.54"	"16,797.78"	"17,420.58"	"18,086.53"	"18,460.00"	"17,098.17"	"17,743.93"	"18,497.99"	"19,259.28"	"20,061.41"	"20,779.91"
																																														
Turkey	"9,126.06"	"9,310.06"	"9,412.35"	"9,640.64"	"10,075.63"	"10,286.67"	"10,782.43"	"11,637.85"	"11,667.17"	"11,489.48"	"12,336.50"	"12,242.14"	"12,762.78"	"13,568.49"	"12,626.74"	"13,326.45"	"14,045.18"	"14,879.05"	"15,122.58"	"14,416.15"	"15,198.58"	"14,133.90"	"14,864.25"	"15,537.13"	"16,852.71"	"18,141.34"	"19,159.89"	"19,882.14"	"19,783.25"	"18,558.16"	"19,804.92"	"21,728.07"	"22,496.66"	"24,074.30"	"24,929.24"	"26,095.08"	"26,599.44"	"28,242.49"	"28,655.15"	"28,517.51"	"26,767.71"	"27,772.28"	"28,550.30"	"29,216.95"	"29,913.47"	"30,624.04"
																																														
Argentina	"6,179.32"	"6,263.39"	"6,334.13"	"6,732.52"	"6,995.78"	"6,602.52"	"7,125.17"	"7,401.75"	"7,422.12"	"7,084.88"	"7,102.36"	"8,005.13"	"8,909.23"	"9,548.30"	"10,189.82"	"9,983.67"	"10,601.39"	"11,525.04"	"11,968.70"	"11,603.76"	"11,646.26"	"11,262.95"	"10,097.01"	"11,100.75"	"12,299.71"	"13,674.48"	"15,074.21"	"16,708.09"	"17,550.54"	"16,476.52"	"18,061.93"	"19,322.23"	"19,641.35"	"20,131.68"	"19,683.77"	"20,105.20"	"20,307.87"	"23,597.12"	"23,305.85"	"22,997.00"	"20,369.64"	"21,621.36"	"22,338.44"	"23,032.21"	"23,732.46"	"24,365.45"
																																														
